date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:45	190864/190864	---M-Z	200	added ('OK')	text/html	etag:W/%222ddd8-JP7gI91+aPx0wDdJsULbFpiIJl8%22	https://www.jetzt.de/aufsteigerinnen/finnland-sanna-marin-hoffnung-der-sozialdemokraten	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/aufsteigerinnen/finnland-sanna-marin-hoffnung-der-sozialdemokraten.html	(from https://www.jetzt.de/tag/aufsteigerinnen)
23:51:45	38752/38752	---M--	200	added ('OK')	image/jpeg	etag:%22098cd3d294939a82ec4f9500a8b497ce%22	https://caching-production.jetzt.de/attachments/ckb9ey1ly012t0nulugb0dzzs-sanna-marin.289.0.900.900.l.jpg	E:/Downloaded%20Web%20Sites/jetzt/caching-production.jetzt.de/attachments/ckb9ey1ly012t0nulugb0dzzs-sanna-marin.289.0.900.900.l.jpg	(from https://www.jetzt.de/tag/aufsteigerinnen)
23:51:45	274151/274151	---MCZ	200	added ('OK')	text/html	etag:W/%224232f-5Qm0G82/yfWiJPwHM35JuyvbqpQ%22	https://www.jetzt.de/aufsteigerinnen/coronavirus-was-gute-fuehrungskraefte-in-der-krise-ausmacht	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/aufsteigerinnen/coronavirus-was-gute-fuehrungskraefte-in-der-krise-ausmacht.html	(from https://www.jetzt.de/tag/aufsteigerinnen)
23:51:45	47306/47306	---M--	200	added ('OK')	image/jpeg	etag:%22c0312a3c9c1eb184222e5684a1b085d1%22	https://caching-production.jetzt.de/attachments/ckapd2p5b01kq0nyotrh2xfj9-gute-chef-corona.0.0.640.640.l.jpg	E:/Downloaded%20Web%20Sites/jetzt/caching-production.jetzt.de/attachments/ckapd2p5b01kq0nyotrh2xfj9-gute-chef-corona.0.0.640.640.l.jpg	(from https://www.jetzt.de/tag/aufsteigerinnen)
23:51:47	92866/92866	---M-Z	200	added ('OK')	text/html	etag:W/%2215f0a-JNJmyh6auTwjhXltHHGt+yfVDKo%22	https://www.jetzt.de/tag/aufsteigerinnen?page=2&append=1	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/tag/aufsteigerinnenc9ee.html	(from https://www.jetzt.de/tag/aufsteigerinnen)
23:51:47	39149/39149	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2298ed-okjCG22JP3YXm3jE7ql06rfaguA%22	https://www.jetzt.de/tag/{%22type%22:%22apostrophe-rich-text%22,%22_id%22:%22cjjebj73g3n5u01qr2jf2exhj%22,%22__docId%22:%22cjjebj73g3n5v01qrca1gaih6%22,%22__dotPath%22:%22headline.items.0%22}	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/tag/{_type___apostrophe-rich-text_,__id___cjjebj73g3n5u01qr2jf2exhj_,___docId___cjjebj73g3n5v01qrca1gaih6_,___dotPath___headline.items.137.delayed	(from https://www.jetzt.de/tag/liebe-und-beziehung)
23:51:47	39149/39149	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2298ed-okjCG22JP3YXm3jE7ql06rfaguA%22	https://www.jetzt.de/tag/{%22type%22:%22apostrophe-rich-text%22,%22_id%22:%22cjjebj73g3n5s01qrpktbyubq%22,%22__docId%22:%22cjjebj73g3n5v01qrca1gaih6%22,%22__dotPath%22:%22teaserText.items.0%22}	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/tag/{_type___apostrophe-rich-text_,__id___cjjebj73g3n5s01qrpktbyubq_,___docId___cjjebj73g3n5v01qrca1gaih6_,___dotPath___teaserText.items.0_}	(from https://www.jetzt.de/tag/liebe-und-beziehung)
23:51:48	39149/39149	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2298ed-okjCG22JP3YXm3jE7ql06rfaguA%22	https://www.jetzt.de/tag/{%22_id%22:%22w784649871129968765%22,%22type%22:%22apostrophe-rich-text%22,%22__docId%22:%22cjjebj73g3n5v01qrca1gaih6%22,%22__dotPath%22:%22content.items.0%22}	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/tag/{__id___w784649871129968765_,_type___apostrophe-rich-text_,___docId___cjjebj73g3n5v01qrca1gaih6_,___dotPath___content.items.0_}	(from https://www.jetzt.de/tag/liebe-und-beziehung)
23:51:48	261704/261704	---MCZ	200	added ('OK')	text/html	etag:W/%223f290-4OGxuDPOy4Dyxe4U41/UdVaoYtI%22	https://www.jetzt.de/glotzen/wie-romantische-komoedien-deine-beziehung-ruinieren	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/glotzen/wie-romantische-komoedien-deine-beziehung-ruinieren.html	(from https://www.jetzt.de/tag/liebe-und-beziehung)
23:51:48	42244/42244	---M--	200	added ('OK')	image/jpeg	etag:%22dda36bb211f45bb74bd49de39a0d277c%22	https://caching-production.jetzt.de/attachments/572325409781844303-paar-glotzen-cover.l.jpg	E:/Downloaded%20Web%20Sites/jetzt/caching-production.jetzt.de/attachments/572325409781844303-paar-glotzen-cover.l.jpg	(from https://www.jetzt.de/tag/liebe-und-beziehung)
23:51:49	244647/244647	---MCZ	200	added ('OK')	text/html	etag:W/%223afef-8Frevgr7z9zQwy7CEphW+Fzz+3g%22	https://www.jetzt.de/digital/tinder-sehnsucht	E:/Downloaded%20Web%20Sites/jetzt/www.jetzt.de/digital/tinder-sehnsucht.html	(from https://www.jetzt.de/tag/liebe-und-beziehung)
